family_combined,name,cost_unit,qtt,cost,description,creation_date,modification_date,billed_person_id,customer_name
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,12.9,1.0,12.9,,2023-06-29 13:25:54,2024-09-30 16:37:58,1246285,ACCUEIL ET PROMOTION SAMBRE - Site Leval
2 - Telephone lines,Numéro direct - SDA supplémentaire,0.5,1.0,0.5,,2023-06-29 13:25:54,2024-09-30 16:37:58,1246285,ACCUEIL ET PROMOTION SAMBRE - Site Leval
3 - Access links,Accès Internet - Fibre Dédiée FTTO - 100 Mbps - Symétrique et garanti,470.0,1.0,470.0,,2023-05-22 11:10:53,2024-09-30 16:37:58,1246285,ACCUEIL ET PROMOTION SAMBRE - Site Leval
5 - Service Pack,Cloud Firewall - VPN - Coeur de réseau MPLS,35.0,1.0,35.0,,2023-05-22 11:10:53,2024-09-30 16:37:58,1246285,ACCUEIL ET PROMOTION SAMBRE - Site Leval
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,20.0,1.0,20.0,,2023-05-22 11:10:53,2024-09-30 16:37:58,1246285,ACCUEIL ET PROMOTION SAMBRE - Site Leval
1 - Licenses and options,Licence Utilisateur avec poste sans fil + borne associée,15.8,1.0,15.8,,2025-05-06 11:42:32,2025-05-06 11:42:32,1294169,ACCUEIL ET PROMOTION SAMBRE - Site LHSS
1 - Licenses and options,Trunk 6 canaux,90.0,1.0,90.0,,2023-08-31 09:02:05,2025-05-06 10:42:24,1294169,ACCUEIL ET PROMOTION SAMBRE - Site LHSS
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.5,24.0,12.0,,2023-10-13 14:20:21,2025-05-06 10:42:24,1294169,ACCUEIL ET PROMOTION SAMBRE - Site LHSS
6 - Hardware,Passerelle - 8 canaux simultanés (Max),10.0,1.0,10.0,,2023-08-31 09:02:05,2025-05-06 10:42:24,1294169,ACCUEIL ET PROMOTION SAMBRE - Site LHSS
7 - Mobile,Avantage client mobile -10%,-4.2,1.0,-4.2,,2024-05-28 11:01:35,2025-05-06 10:42:24,1294169,ACCUEIL ET PROMOTION SAMBRE - Site LHSS
7 - Mobile,Business Smartphone 1 Go,12.0,2.0,24.0,,2023-11-13 10:56:47,2025-05-06 10:42:24,1294169,ACCUEIL ET PROMOTION SAMBRE - Site LHSS
7 - Mobile,Business Smartphone 5 Go,18.0,1.0,18.0,,2024-08-20 15:01:45,2025-05-06 10:42:24,1294169,ACCUEIL ET PROMOTION SAMBRE - Site LHSS
1 - Licenses and options,Hébergement Coeur de système - Téléphonie IP - Centralisé Sambre,499.0,1.0,499.0,,2022-07-28 17:44:22,2024-03-26 11:40:36,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
1 - Licenses and options,Licence utilisateur avec Poste Fixe + extension,14.9,1.0,14.9,Accueil Maubeuge,2023-11-28 09:46:43,2023-11-28 09:46:43,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
1 - Licenses and options,Licence utilisateur avec poste fixe,12.9,5.0,64.5,PF Maubeuge - Direction Générale - RC Bis,2023-06-13 15:09:25,2024-09-19 09:19:41,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
1 - Licenses and options,Licence utilisateur avec poste sans fil,12.9,1.0,12.9,Restauration Collective,2023-06-13 15:09:25,2023-06-13 15:09:25,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
1 - Licenses and options,Licence utilisateur avec poste sans fil (x2),15.8,3.0,47.4,Compte RH - HU Maubeuge - CHRS Maubeuge,2023-11-28 09:46:43,2023-11-28 09:46:43,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
3 - Access links,Accès Internet Mobile 50 Go,26.0,1.0,26.0,Routeur 4G Haumtont,2022-04-07 10:37:15,2024-05-28 11:05:06,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
3 - Access links,Accès Internet - Fibre Dédiée FTTO - 100 Mbps - Symétrique et garanti,470.0,1.0,470.0,,2023-01-27 17:03:20,2024-03-26 11:40:36,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
3 - Access links,Cloud firewall -Stateful - MPLS,35.0,1.0,35.0,,2023-01-27 17:03:20,2023-01-27 17:03:20,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.5,11.0,5.5,,2022-04-07 10:50:37,2024-03-26 11:40:36,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,20.0,1.0,20.0,,2023-01-27 17:07:04,2024-03-26 11:40:36,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
7 - Mobile,Accès Internet Mobile 5 Go,14.0,1.0,14.0,,2022-12-28 09:14:26,2024-05-28 11:05:06,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
7 - Mobile,Avantage client mobile -10%,-23.2,1.0,-23.2,,2024-05-28 11:06:35,2025-02-03 10:55:03,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
7 - Mobile,Business Smartphone 1 Go,12.0,9.0,108.0,,2022-04-07 10:37:15,2024-12-12 09:47:19,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
7 - Mobile,Business Smartphone 20 Go,24.0,2.0,48.0,,2022-04-07 10:37:15,2025-02-03 10:55:03,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
7 - Mobile,Business Smartphone 5 Go,18.0,2.0,36.0,,2024-05-28 11:05:06,2024-08-20 15:06:01,910633,ACCUEIL ET PROMOTION SAMBRE - Site Maubeuge
7 - Mobile,Accès internet mobile 50 Go,29.0,1.0,29.0,,2024-01-15 12:03:34,2024-04-16 16:26:55,1386396,ACTIONS
7 - Mobile,Business Smartphone 20 Go,25.0,1.0,25.0,,2024-01-15 11:53:00,2024-04-16 16:26:55,1386396,ACTIONS
7 - Mobile,Remise Parc supérieur à 10 lignes -5% sur les abonnements,-2.7,1.0,-2.7,,2024-01-15 12:03:34,2024-01-15 12:03:34,1386396,ACTIONS
1 - Licenses and options,Groupe d'appel astreinte / permanence,15.0,1.0,15.0,,2025-01-30 09:09:07,2025-01-30 09:09:07,1127952,ADM POLE DE VAL MAUBUEE
1 - Licenses and options,Hébergement Coeur de système - Téléphonie IP,25.0,1.0,25.0,,2023-11-07 11:41:19,2024-03-26 11:42:09,1127952,ADM POLE DE VAL MAUBUEE
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,3.0,45.0,,2023-11-07 11:41:19,2025-01-30 09:09:07,1127952,ADM POLE DE VAL MAUBUEE
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2023-11-07 11:41:19,2024-03-26 11:42:09,1127952,ADM POLE DE VAL MAUBUEE
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,2.0,1.2,,2023-11-07 11:41:19,2024-03-26 11:42:09,1127952,ADM POLE DE VAL MAUBUEE
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2023-11-07 11:41:19,2024-03-26 11:42:09,1127952,ADM POLE DE VAL MAUBUEE
7 - Mobile,Abonnement Mobile - Business Smartphone,24.0,1.0,24.0,,2022-09-23 10:41:46,2023-11-22 15:01:48,1127952,ADM POLE DE VAL MAUBUEE
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,2.0,30.0,,2021-09-21 10:48:31,2024-03-26 10:57:45,902143,AFR - ACCUEIL DE JOUR SAMAIN
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-02 09:18:36,2024-03-26 11:22:55,902143,AFR - ACCUEIL DE JOUR SAMAIN
1 - Licenses and options,Licence SUNBREN,15.0,8.0,120.0,,2021-09-21 11:16:53,2025-02-03 09:45:44,902143,AFR - ACCUEIL DE JOUR SAMAIN
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-08-26 14:53:02,2024-03-26 10:57:45,902143,AFR - ACCUEIL DE JOUR SAMAIN
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,2.0,1.2,,2021-09-21 10:48:31,2024-03-26 10:57:45,902143,AFR - ACCUEIL DE JOUR SAMAIN
5 - Service Pack,Maintenance mensuelle Point accès wifi,3.5,2.0,7.0,,2021-10-02 11:52:34,2024-07-09 10:45:54,902143,AFR - ACCUEIL DE JOUR SAMAIN
5 - Service Pack,Maintenance mensuelle switch,15.0,1.0,15.0,,2021-10-02 11:52:34,2022-09-20 17:02:33,902143,AFR - ACCUEIL DE JOUR SAMAIN
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-08-26 14:53:02,2024-03-26 10:57:45,902143,AFR - ACCUEIL DE JOUR SAMAIN
7 - Mobile,Business Smartphone 20 Go,21.0,6.0,126.0,,2022-09-22 14:29:09,2024-03-26 10:52:51,902143,AFR - ACCUEIL DE JOUR SAMAIN
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-09-23 11:06:30,2024-03-26 11:00:12,902162,AFR - ACCUEIl FEMMES BEAUREPAIRE
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-23 11:06:30,2024-03-26 11:22:29,902162,AFR - ACCUEIl FEMMES BEAUREPAIRE
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-07-19 15:34:22,2024-03-26 11:00:12,902162,AFR - ACCUEIl FEMMES BEAUREPAIRE
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,,2021-09-23 11:06:30,2024-03-26 11:00:12,902162,AFR - ACCUEIl FEMMES BEAUREPAIRE
5 - Service Pack,Maintenance mensuelle Point accès wifi,3.5,2.0,7.0,,2021-10-02 11:56:11,2022-10-29 08:10:23,902162,AFR - ACCUEIl FEMMES BEAUREPAIRE
5 - Service Pack,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2021-10-02 11:56:11,2024-07-09 10:45:11,902162,AFR - ACCUEIl FEMMES BEAUREPAIRE
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-07-19 15:34:22,2024-03-26 11:00:12,902162,AFR - ACCUEIl FEMMES BEAUREPAIRE
7 - Mobile,Business Smartphone 20 Go,21.0,2.0,42.0,,2022-09-22 14:32:11,2024-03-26 10:53:28,902162,AFR - ACCUEIl FEMMES BEAUREPAIRE
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,4.0,60.0,,2021-10-07 16:19:50,2024-07-09 10:15:43,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-10-07 16:19:50,2024-07-09 10:15:43,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
1 - Licenses and options,Maintenance mensuelle Point accès wifi,3.5,5.0,17.5,,2021-10-14 16:51:34,2024-07-09 10:15:43,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
1 - Licenses and options,Maintenance mensuelle réseau switch,15.0,4.0,60.0,,2021-10-14 16:51:34,2024-07-09 10:15:43,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
1 - Licenses and options,Licence SUNBREN,15.0,10.0,150.0,,2021-10-15 09:19:36,2025-02-03 09:46:32,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
3 - Access links,Accès Internet - Fibre Dédiée FTTO - 100 Mbps - Symétrique et garanti,350.0,1.0,350.0,,2022-09-13 14:56:49,2024-07-09 10:17:27,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-12-01 17:07:44,2024-07-09 10:17:27,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,4.0,2.4,,2021-10-07 16:19:50,2024-07-09 10:15:43,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,2.0,10.0,,2021-12-01 17:07:44,2024-07-09 10:17:27,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
7 - Mobile,Business Smartphone 1 Go,11.0,1.0,11.0,,2024-07-01 10:31:18,2024-07-09 10:17:27,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
7 - Mobile,Business Smartphone 20 Go,21.0,2.0,42.0,,2022-09-22 14:35:39,2024-07-09 10:17:27,902152,AFR - ACCUEIL FEMMES NATIONS UNIES
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-09-23 10:35:56,2024-03-26 11:04:17,902166,AFR - ACCUEIL FEMMES PROGRES PILE
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-23 10:35:56,2024-03-26 11:21:26,902166,AFR - ACCUEIL FEMMES PROGRES PILE
1 - Licenses and options,Maintenance Mensuelle reseau switch,15.0,1.0,15.0,,2021-09-22 11:36:17,2024-07-09 10:19:42,902166,AFR - ACCUEIL FEMMES PROGRES PILE
1 - Licenses and options,Maintenance mensuelle Point accès wifi,3.5,1.0,3.5,,2021-09-22 11:36:17,2024-07-09 10:19:42,902166,AFR - ACCUEIL FEMMES PROGRES PILE
1 - Licenses and options,Licence SUNBREN,15.0,2.0,30.0,,2021-07-30 10:44:07,2022-10-29 08:16:05,902166,AFR - ACCUEIL FEMMES PROGRES PILE
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-08-31 18:04:44,2024-07-09 10:19:42,902166,AFR - ACCUEIL FEMMES PROGRES PILE
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,,2021-09-23 10:35:56,2024-03-26 11:04:17,902166,AFR - ACCUEIL FEMMES PROGRES PILE
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-08-31 18:04:44,2024-07-09 10:19:42,902166,AFR - ACCUEIL FEMMES PROGRES PILE
7 - Mobile,Business Smartphone 1 Go,11.0,1.0,11.0,,2022-09-22 14:46:11,2024-03-26 11:04:17,902166,AFR - ACCUEIL FEMMES PROGRES PILE
7 - Mobile,Business Smartphone 20 Go,21.0,1.0,21.0,,2022-09-22 14:46:11,2024-03-26 11:04:17,902166,AFR - ACCUEIL FEMMES PROGRES PILE
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-07-29 14:48:51,2024-03-26 11:04:52,902158,AFR - AFR FEMMES GRANDE RUE
3 - Access links,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-10-02 12:10:57,2024-03-26 11:21:02,902158,AFR - AFR FEMMES GRANDE RUE
5 - Service Pack,Maintenance mensuelle Point accès wifi,3.5,1.0,3.5,,2021-10-02 12:09:32,2024-07-09 10:46:42,902158,AFR - AFR FEMMES GRANDE RUE
5 - Service Pack,Maintenance mensuelle Switch,15.0,1.0,15.0,,2021-10-02 12:09:32,2022-10-29 08:17:35,902158,AFR - AFR FEMMES GRANDE RUE
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-07-29 14:48:51,2024-03-26 11:04:52,902158,AFR - AFR FEMMES GRANDE RUE
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,2.0,30.0,,2022-06-28 15:22:31,2024-07-09 10:24:20,902181,AFR - ARMENTIERES GARE
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-08-24 14:16:37,2024-07-09 10:24:20,902181,AFR - ARMENTIERES GARE
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,2.0,1.2,,2022-06-28 15:22:31,2024-07-09 10:24:20,902181,AFR - ARMENTIERES GARE
5 - Service Pack,Maintenance mensuelle Point accès wifi,3.5,1.0,3.5,,2022-07-02 11:10:45,2024-07-09 10:24:20,902181,AFR - ARMENTIERES GARE
5 - Service Pack,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2022-07-02 11:10:45,2024-07-09 10:24:20,902181,AFR - ARMENTIERES GARE
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-08-24 14:16:37,2024-07-09 10:24:20,902181,AFR - ARMENTIERES GARE
7 - Mobile,Business Smartphone 20 Go,21.0,1.0,21.0,,2022-09-22 14:47:50,2024-03-26 11:06:04,902181,AFR - ARMENTIERES GARE
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-09-27 14:14:47,2024-07-09 10:26:02,902170,AFR - ARMENTIERES SADI CARNOT
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-27 14:14:47,2024-03-26 11:20:26,902170,AFR - ARMENTIERES SADI CARNOT
1 - Licenses and options,Maintenance mensuelle Point accès wifi,3.5,1.0,3.5,,2021-09-07 09:18:38,2024-07-09 10:26:02,902170,AFR - ARMENTIERES SADI CARNOT
1 - Licenses and options,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2021-09-07 09:18:38,2024-07-09 10:26:02,902170,AFR - ARMENTIERES SADI CARNOT
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-07-28 11:05:22,2024-07-09 10:26:02,902170,AFR - ARMENTIERES SADI CARNOT
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,,2022-10-29 08:21:38,2024-03-26 11:07:21,902170,AFR - ARMENTIERES SADI CARNOT
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-07-28 11:05:22,2024-07-09 10:26:02,902170,AFR - ARMENTIERES SADI CARNOT
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,3.0,45.0,,2021-09-24 10:17:29,2024-03-26 11:08:35,902175,AFR - ARMENTIERES SCHUMAN
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-24 10:17:29,2024-03-26 11:20:02,902175,AFR - ARMENTIERES SCHUMAN
1 - Licenses and options,Maintenance mensuelle Point accès wifi,3.5,3.0,10.5,,2021-10-14 16:20:25,2024-07-09 10:47:19,902175,AFR - ARMENTIERES SCHUMAN
1 - Licenses and options,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2021-10-14 16:20:25,2023-06-29 13:55:36,902175,AFR - ARMENTIERES SCHUMAN
1 - Licenses and options,Licence SUNBREN,15.0,9.0,135.0,,2021-07-30 10:43:13,2025-02-03 09:47:11,902175,AFR - ARMENTIERES SCHUMAN
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-07-09 11:47:52,2024-03-26 11:08:35,902175,AFR - ARMENTIERES SCHUMAN
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,2.0,1.2,,2021-09-24 10:17:29,2024-03-26 11:08:35,902175,AFR - ARMENTIERES SCHUMAN
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-07-09 11:47:52,2024-03-26 11:08:35,902175,AFR - ARMENTIERES SCHUMAN
7 - Mobile,Business Smartphone 1 Go,11.0,1.0,11.0,,2023-06-29 14:01:10,2024-03-26 11:08:35,902175,AFR - ARMENTIERES SCHUMAN
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,,2021-09-24 10:02:05,2024-07-09 10:31:45,902169,AFR - HU FEMMES TOURCOING GAMBETTA
1 - Licenses and options,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2021-09-24 10:02:05,2024-07-09 10:31:45,902169,AFR - HU FEMMES TOURCOING GAMBETTA
1 - Licenses and options,Maintenance mensuelle borne wifi,3.5,1.0,3.5,,2021-10-14 16:33:41,2024-07-09 10:31:45,902169,AFR - HU FEMMES TOURCOING GAMBETTA
1 - Licenses and options,Maintenance mensuelle réseau switch,15.0,1.0,15.0,,2021-10-14 16:33:41,2024-07-09 10:31:45,902169,AFR - HU FEMMES TOURCOING GAMBETTA
1 - Licenses and options,Licence SUNBREN,15.0,6.0,90.0,,2021-07-30 10:40:33,2025-02-03 09:47:32,902169,AFR - HU FEMMES TOURCOING GAMBETTA
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,54.0,1.0,54.0,,2021-07-08 17:49:14,2024-07-09 10:31:45,902169,AFR - HU FEMMES TOURCOING GAMBETTA
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.6,1.0,0.6,,2021-09-24 10:02:05,2024-07-09 10:31:45,902169,AFR - HU FEMMES TOURCOING GAMBETTA
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2021-07-08 17:49:14,2024-07-09 10:31:45,902169,AFR - HU FEMMES TOURCOING GAMBETTA
7 - Mobile,Business Smartphone 20 Go,21.0,1.0,21.0,,2022-09-22 14:49:45,2024-03-26 11:09:49,902169,AFR - HU FEMMES TOURCOING GAMBETTA
1 - Licenses and options,Cloud Firewall,24.0,1.0,24.0,,2024-10-14 13:44:24,2024-10-14 13:44:24,748445,AFR - SIEGE
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,38.0,570.0,,2022-06-14 09:33:05,2024-08-22 15:36:12,748445,AFR - SIEGE
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,1.0,15.0,WATTRELOS,2024-08-22 15:36:12,2024-08-22 15:36:12,748445,AFR - SIEGE
